scenario,arrival_rate,average_handling_time,service_level_target,weight
Scenario_37,65.34286719238085,6.645035840204937,0.8,0.4
Scenario_38,68.56351733429729,3.370223258670452,0.8,0.4
Scenario_39,47.923286427213625,3.5793452976256486,0.8,0.4
Scenario_40,73.15517129377967,6.11649063413779,0.8,0.4
Scenario_41,46.54490124263246,3.3177917514301183,0.8,0.4
Scenario_42,45.54911608578311,4.625916610133736,0.8,0.4
Scenario_43,66.4803089169032,6.187787356776066,0.8,0.4
Scenario_44,74.36063712881634,5.361074625809747,0.8,0.4
Scenario_45,35.97971229691508,6.566223936114975,0.8,0.4
Scenario_46,68.03925243084487,5.806385987847481,0.8,0.4
Scenario_47,68.54835899772806,5.468977981821954,0.8,0.4
Scenario_48,56.1366414690997,5.137705091792748,0.8,0.4
Scenario_49,31.27095633720476,3.539457134966522,0.8,0.4
Scenario_50,31.57145928433671,6.182052056318902,0.8,0.4
Scenario_51,45.717799053816336,5.542853455823514,0.8,0.4
Scenario_52,75.37832369630465,4.246461145744375,0.8,0.4
Scenario_53,50.519146151781484,6.777755692715243,0.8,0.4
Scenario_54,41.43990827458112,3.384899549143965,0.8,0.4
Scenario_55,44.4875726456884,3.806106436270022,0.8,0.4
Scenario_56,76.48488261712865,7.040601897822085,0.8,0.4
Scenario_57,61.67018782552117,7.357302950938589,0.8,0.4
Scenario_58,70.18360384495573,3.932850294430179,0.8,0.4
Scenario_59,74.62794992449889,5.696711209578254,0.8,0.4
Scenario_60,70.37200775820313,7.480456499617466,0.8,0.4
Scenario_61,45.90017374859319,3.550259622638384,0.8,0.4
Scenario_62,41.39675812709709,5.135538943131282,0.8,0.4
Scenario_63,70.90073829612466,7.303652916281717,0.8,0.4
Scenario_64,30.347606526559535,5.553736512887829,0.8,0.4
Scenario_65,50.87055015743895,4.110539052353651,0.8,0.4
Scenario_66,35.99326836668414,4.68807585701814,0.8,0.4
Scenario_67,77.14548519562595,4.616014660103776,0.8,0.4
Scenario_68,55.939531087168305,6.515094794475889,0.8,0.4
Scenario_69,48.1814801189647,7.858910413604804,0.8,0.4
Scenario_70,78.12236474710556,4.258911479126821,0.8,0.4
Scenario_71,54.86242529461927,4.504391549083849,0.8,0.4
Scenario_72,44.24202471887338,3.1844347367726638,0.8,0.4
Scenario_73,60.47821669899484,5.5133951161443076,0.8,0.4
Scenario_74,32.57393756249947,4.393232321183057,0.8,0.4
Scenario_75,75.41329429833269,4.197809453334862,0.8,0.4
Scenario_76,37.24474360456115,5.447263801387815,0.8,0.4
Scenario_77,79.28252270553003,4.210276357557502,0.8,0.4
Scenario_78,63.606777370293926,6.808098076643588,0.8,0.4
Scenario_79,41.881877199619986,6.641081743059297,0.8,0.4
Scenario_80,48.389156635962664,6.161529152967898,0.8,0.4
Scenario_81,61.67648553804473,5.678873420373792,0.8,0.4
Scenario_82,34.51448850272041,7.17651247794619,0.8,0.4
Scenario_83,46.039003248586795,3.9325925519992713,0.8,0.4
Scenario_84,32.0387570777382,5.954464715941209,0.8,0.4
Scenario_85,63.87821809211412,3.0829391446392806,0.8,0.4
Scenario_86,55.60465291496405,4.1324788759896895,0.8,0.4
Scenario_87,62.25863952047249,3.8718321450249573,0.8,0.4
Scenario_88,64.5468869051233,4.933676731502687,0.8,0.4
Scenario_89,76.83649943683673,3.6876047207299663,0.8,0.4
Scenario_90,47.05331755251292,3.5673676062029456,0.8,0.4
Scenario_91,76.23468091392814,7.386696766904905,0.8,0.4
Scenario_92,42.89708138575778,6.299920230170895,0.8,0.4
Scenario_93,70.8611100100608,5.776004057997312,0.8,0.4
Scenario_94,56.48252891780032,4.209261454502259,0.8,0.4
Scenario_95,34.65513839029496,7.486078789766633,0.8,0.4
Scenario_96,75.02090285816652,6.16550728636634,0.8,0.4
Scenario_97,46.951489552435035,4.746047873063304,0.8,0.4
Scenario_98,66.29778394351197,7.485551299762886,0.8,0.4
Scenario_99,74.35432121325587,6.899377729288119,0.8,0.4
Scenario_0,62.10158230771439,3.420699824975244,0.85,0.3
Scenario_1,38.08143570473069,7.492770942635397,0.85,0.3
Scenario_2,60.321452982979494,3.045985258083148,0.85,0.3
Scenario_3,35.073577143301605,6.317508845540279,0.85,0.3
Scenario_4,30.253079192310935,3.804040257087493,0.85,0.3
Scenario_5,57.436689468329305,6.459475988463466,0.85,0.3
Scenario_6,62.59806297513003,4.1213465473027995,0.85,0.3
Scenario_7,65.6089610673768,4.186245437484001,0.85,0.3
Scenario_8,46.26998490796339,6.73245702559012,0.85,0.3
Scenario_9,62.48164495236073,7.24611705247089,0.85,0.3
Scenario_10,62.88064461501717,5.841543016677358,0.85,0.3
Scenario_11,34.683738391404624,4.838579015297167,0.85,0.3
Scenario_12,43.26011838408627,4.219948216895418,0.85,0.3
Scenario_13,78.65052773762227,4.965488623333802,0.85,0.3
Scenario_14,74.60232775885567,6.1556931299863145,0.85,0.3
Scenario_15,69.74056517708243,5.513185465525961,0.85,0.3
Scenario_16,58.845194231317954,5.462588469094319,0.85,0.3
Scenario_17,39.76214938990223,6.612260576307527,0.85,0.3
Scenario_18,44.03861812204279,3.121579832157269,0.85,0.3
Scenario_19,62.27361479535839,3.8855533970352445,0.85,0.3
Scenario_20,77.02292921764572,7.769642885012937,0.85,0.3
Scenario_21,75.74321951102243,4.850793501277222,0.85,0.3
Scenario_22,30.77283082644337,7.641592812938627,0.85,0.3
Scenario_23,51.409207415865716,7.833274095218348,0.85,0.3
Scenario_24,78.18099885446264,7.265047277336801,0.85,0.3
Scenario_25,44.72244460347928,4.9254886430096265,0.85,0.3
Scenario_26,72.55683357584284,4.584610025781388,0.85,0.3
Scenario_27,38.474637334304624,5.784006312291751,0.85,0.3
Scenario_28,76.80773870803904,6.480148983374865,0.85,0.3
Scenario_29,58.50305850446825,3.4858824688538426,0.85,0.3
Scenario_30,60.750361334958484,7.950269250521316,0.85,0.3
Scenario_31,37.0042007618262,5.591648261818683,0.85,0.3
Scenario_32,73.86865359639776,6.703843088771022,0.85,0.3
Scenario_33,64.8507870497634,6.512420419935546,0.85,0.3
Scenario_34,47.97455756098776,4.467959221322467,0.85,0.3
Scenario_35,70.46805777392568,7.050566973395904,0.85,0.3
Scenario_36,73.35361592900519,7.566202762782357,0.85,0.3
Scenario_37,55.56711994304689,5.507581473435998,0.85,0.3
Scenario_38,69.91475894833876,6.249819653888826,0.85,0.3
Scenario_39,65.09834386288517,6.978963347180505,0.85,0.3
Scenario_40,74.50026709087831,4.689975784257679,0.85,0.3
Scenario_41,48.779147631997205,3.469909699204345,0.85,0.3
Scenario_42,58.9140070498087,3.1797113689837104,0.85,0.3
Scenario_43,53.27990090662301,5.713223173537883,0.85,0.3
Scenario_44,44.327062606414216,5.954166302845054,0.85,0.3
Scenario_45,31.52501249695247,3.186740943746072,0.85,0.3
Scenario_46,71.13002803298292,4.800953207056315,0.85,0.3
Scenario_47,36.35302563259424,5.611216300274021,0.85,0.3
Scenario_48,68.49967765493054,4.079105137484216,0.85,0.3
Scenario_49,61.14452379095002,3.42673732496884,0.85,0.3
Scenario_50,32.58408605843039,5.65677315784074,0.85,0.3
Scenario_51,57.031756080505325,6.187149507491033,0.85,0.3
Scenario_52,66.30456668613309,7.879260397312673,0.85,0.3
Scenario_53,55.81501741505977,4.61478236470623,0.85,0.3
Scenario_54,69.75930973843518,4.3541612563103715,0.85,0.3
Scenario_55,51.9485710352818,3.3922819067113297,0.85,0.3
Scenario_56,31.267537170772876,7.813242073389626,0.85,0.3
Scenario_57,71.79900602561028,6.47987103046849,0.85,0.3
Scenario_58,50.44764722071349,3.8664716003542288,0.85,0.3
Scenario_59,37.8218521335543,4.251214490822976,0.85,0.3
Scenario_60,57.46133323530603,6.572979613500312,0.85,0.3
Scenario_61,63.009868835886564,4.399669484729714,0.85,0.3
Scenario_62,77.7432640331597,6.689484583478842,0.85,0.3
Scenario_63,57.717702625570034,6.058603731171761,0.85,0.3
Scenario_64,50.980003121389494,4.238654947505787,0.85,0.3
Scenario_65,47.79863393256308,6.789230552321845,0.85,0.3
Scenario_66,30.719674431487793,3.5803632025345813,0.85,0.3
Scenario_67,32.30013210108764,3.2036440115948506,0.85,0.3
Scenario_68,72.77302920055035,6.518289296900118,0.85,0.3
Scenario_69,53.70869145436626,3.4891708032550075,0.85,0.3
Scenario_70,54.58079375584162,5.367358853902829,0.85,0.3
Scenario_71,38.66009349550076,5.169258246189865,0.85,0.3
Scenario_72,49.92523671986867,6.079250490261082,0.85,0.3
Scenario_73,61.75468254338219,3.2265200488602224,0.85,0.3
Scenario_74,48.73063073132356,6.129299578571182,0.85,0.3
Scenario_75,55.15681292900439,7.282449205941611,0.85,0.3
Scenario_76,62.93468158094725,3.8146721354071484,0.85,0.3
Scenario_77,33.52843737002149,6.212096391031578,0.85,0.3
Scenario_78,31.32556552708109,5.928877906367316,0.85,0.3
Scenario_79,77.01151207124788,5.877370889379395,0.85,0.3
Scenario_80,49.4084963103261,6.216441092211766,0.85,0.3
Scenario_81,52.91264452457583,5.728083946579675,0.85,0.3
Scenario_82,77.07324043882626,4.930513189003872,0.85,0.3
Scenario_83,78.05952819119571,7.526753209780319,0.85,0.3
Scenario_84,39.78955673946482,3.3468065043758273,0.85,0.3
Scenario_85,35.038900068871335,3.0911091282577488,0.85,0.3
Scenario_86,34.72214803779642,6.415033867081784,0.85,0.3
Scenario_87,33.55943242301145,4.594878151468807,0.85,0.3
Scenario_88,72.24376554847274,3.1163596786791294,0.85,0.3
Scenario_89,70.72342412944678,4.409273873867,0.85,0.3
Scenario_90,35.90824138108281,6.483685826820754,0.85,0.3
Scenario_91,61.4471423389942,7.387360067635265,0.85,0.3
Scenario_92,66.75355219019428,7.017404651924243,0.85,0.3
Scenario_93,44.101728628565326,3.887197718898614,0.85,0.3
Scenario_94,67.53073758204292,7.03417369633632,0.85,0.3
Scenario_95,79.52525710003366,5.063088384557132,0.85,0.3
Scenario_96,48.60090428963916,6.882064803709984,0.85,0.3
Scenario_97,47.040177012650894,7.653786628017824,0.85,0.3
Scenario_98,72.9206375921506,5.1449701368750915,0.85,0.3
Scenario_99,67.54355338957487,6.772714370423412,0.85,0.3
Scenario_0,35.15619344179663,7.512764533397833,0.9,0.3
Scenario_1,55.26261862239286,7.132287330538708,0.9,0.3
Scenario_2,46.00248005153058,7.477616142481002,0.9,0.3
Scenario_3,49.46008393670816,3.054188257401492,0.9,0.3
Scenario_4,75.26909882096318,3.456433383930668,0.9,0.3
Scenario_5,45.965681879520744,7.750309835254025,0.9,0.3
Scenario_6,77.5303573468778,5.86718944061643,0.9,0.3
Scenario_7,61.59186060848997,5.242227609891598,0.9,0.3
Scenario_8,44.66053858490323,4.64332272684958,0.9,0.3
Scenario_9,63.62592280385192,6.7618726471884,0.9,0.3
Scenario_10,69.57895218629243,6.9480907139727694,0.9,0.3
Scenario_11,34.560305152434516,5.472101523512907,0.9,0.3
Scenario_12,32.877938000832216,5.747644411618678,0.9,0.3
Scenario_13,52.07652506866885,7.438520913791499,0.9,0.3
Scenario_14,47.54575062760394,3.5853350821380294,0.9,0.3
Scenario_15,37.149584102641796,6.807553158587361,0.9,0.3
Scenario_16,60.91090316581305,3.5056133806139513,0.9,0.3
Scenario_17,34.20534030574987,6.5048456572956,0.9,0.3
Scenario_18,33.638150318209675,7.1093002964517815,0.9,0.3
Scenario_19,65.31211135782482,3.406743903209499,0.9,0.3
Scenario_20,34.241885704259595,7.933197892505877,0.9,0.3
Scenario_21,48.71353978780601,4.8532107353344545,0.9,0.3
Scenario_22,70.63997836287513,7.736242886919293,0.9,0.3
Scenario_23,79.30005319114355,6.766890926294709,0.9,0.3
Scenario_24,48.81297927654579,3.417503583493344,0.9,0.3
Scenario_25,68.85734579637185,5.792021248679025,0.9,0.3
Scenario_26,51.21110046234881,7.53177192547368,0.9,0.3
Scenario_27,35.559874115307565,5.4631255214542955,0.9,0.3
Scenario_28,30.567682238370953,5.343303209970632,0.9,0.3
Scenario_29,32.815163784091865,3.5940895813403597,0.9,0.3
Scenario_30,35.87631233885524,6.246051510580318,0.9,0.3
Scenario_31,67.30224396327117,5.916843825485798,0.9,0.3
Scenario_32,78.10862742372709,4.87435289761852,0.9,0.3
Scenario_33,44.285604314093035,7.342995640947302,0.9,0.3
Scenario_34,41.17979192597263,7.816112697203057,0.9,0.3
Scenario_35,30.60772373449082,7.849394133538195,0.9,0.3
Scenario_36,32.1579955975288,7.455715568490356,0.9,0.3
Scenario_37,56.385055454314994,7.964823980596502,0.9,0.3
Scenario_38,33.68982823676994,5.769271422006604,0.9,0.3
Scenario_39,78.46512678095495,5.615489220850744,0.9,0.3
Scenario_40,61.46993190676312,6.478743444923086,0.9,0.3
Scenario_41,52.72705323838866,6.137790400420317,0.9,0.3
Scenario_42,59.21571559615501,7.505790052454945,0.9,0.3
Scenario_43,32.272319017072896,4.4048159479611515,0.9,0.3
Scenario_44,77.52057420382793,7.4513189194545815,0.9,0.3
Scenario_45,52.782837639285646,6.100662989007684,0.9,0.3
Scenario_46,43.86905914905663,3.9406057986188063,0.9,0.3
Scenario_47,53.18492024699911,4.766761140130264,0.9,0.3
Scenario_48,59.1828055925436,3.388673184824924,0.9,0.3
Scenario_49,78.71974038330833,7.931053722398015,0.9,0.3
Scenario_50,64.90808570098726,5.680481831720602,0.9,0.3
Scenario_51,45.476380814316386,7.068975098534743,0.9,0.3
Scenario_52,64.23655862769397,3.8130846967244567,0.9,0.3
Scenario_53,75.54635922469213,7.112686214615845,0.9,0.3
Scenario_54,77.4899956645962,6.6285975419418,0.9,0.3
Scenario_55,60.6707597967895,5.091215181453094,0.9,0.3
Scenario_56,76.63642416770065,7.330319447502042,0.9,0.3
Scenario_57,32.26093350530947,3.13183487248626,0.9,0.3
Scenario_58,48.82316834390248,7.052766653909164,0.9,0.3
Scenario_59,79.36380646574722,3.752084455517641,0.9,0.3
Scenario_60,59.70653576760675,4.904454283155108,0.9,0.3
Scenario_61,78.49571989073016,7.210594615678543,0.9,0.3
Scenario_62,71.91643523555689,5.343465798974851,0.9,0.3
Scenario_63,50.74097511688326,4.367035359653531,0.9,0.3
Scenario_64,32.81877483254635,7.323611881275266,0.9,0.3
Scenario_65,70.64505045650388,7.998588366430653,0.9,0.3
Scenario_66,79.83184185369527,5.777158528013137,0.9,0.3
Scenario_67,68.44937075902553,7.72382864941214,0.9,0.3
Scenario_68,72.48236953387058,4.236740508715988,0.9,0.3
Scenario_69,52.52720676550467,3.645797075757475,0.9,0.3
Scenario_70,77.70255136293612,6.030873172254401,0.9,0.3
Scenario_71,41.43214027517314,6.358503422029283,0.9,0.3
Scenario_72,60.90641202289479,4.790813590164202,0.9,0.3
Scenario_73,35.67787960998145,6.357865977963998,0.9,0.3
Scenario_74,56.01538504518966,6.861591958678197,0.9,0.3
Scenario_75,56.008175055599665,7.2609075015927,0.9,0.3
Scenario_76,57.595341938724275,5.804689857676932,0.9,0.3
Scenario_77,73.83268013291726,5.017414331061985,0.9,0.3
Scenario_78,36.70076142253204,3.143913381566695,0.9,0.3
Scenario_79,67.75686278368096,6.1015477567673235,0.9,0.3
Scenario_80,65.20398840496118,4.064820807544553,0.9,0.3
Scenario_81,36.818573779338486,3.0727233283394098,0.9,0.3
Scenario_82,47.52937794032985,5.949588434273165,0.9,0.3
Scenario_83,49.61220225498661,5.1873746101186455,0.9,0.3
Scenario_84,75.20793472468742,4.741277335116502,0.9,0.3
Scenario_85,55.69947445799054,6.918265063705715,0.9,0.3
Scenario_86,49.827139116063506,6.110433501139367,0.9,0.3
Scenario_87,73.11818543733726,7.747603118288211,0.9,0.3
Scenario_88,37.3536740464519,7.632938125807472,0.9,0.3
Scenario_89,54.60581465397691,4.291221941494792,0.9,0.3
Scenario_90,52.95678781191307,7.900162876427386,0.9,0.3
Scenario_91,54.63090469964348,4.6437580514375405,0.9,0.3
Scenario_92,61.67004271583629,4.200728093890966,0.9,0.3
Scenario_93,33.7931664054332,3.644398609553246,0.9,0.3
Scenario_94,36.40229194788862,3.759513467561472,0.9,0.3
Scenario_95,36.94135863247051,6.204373724016073,0.9,0.3
Scenario_96,39.09400421995724,4.728336416619316,0.9,0.3
Scenario_97,74.8394204953006,5.3698082013143615,0.9,0.3
Scenario_98,63.37788692605136,3.861599356008149,0.9,0.3
Scenario_99,39.61445094043354,3.2043430813323943,0.9,0.3
